uuid,iata_code
DDEFEBEA-98ED-49EB-A4E7-9D7BFDB7AA0B,MBW
DAEF2221-14BE-467B-894A-F101CDCC38E4,AMS
31971B3E-2F80-4F8D-86BA-1F2077DF36A2,HND
1A29A45C-D560-43D8-ADAB-C2F0AD068FFE,BOD
A6EC281B-B8EC-465A-8933-F127472DB0A3,RTM
B97F46E0-4B53-484D-ABDB-24971E47F404,MAD
4EA4ECE8-CB8C-43CE-B025-AB359171859A,VIY
AC401DCC-E123-4E60-8FB2-85AB94A39A38,VBS
239901B4-A29B-421C-BCD7-0385CA3130DC,SGD
09F6B075-E61D-4362-8BF7-6A10D628C329,MEB
8D1FAEB5-4CAB-4A91-A36A-D5C033F0EF4A,SGL
9D24022C-43A0-4DF7-B1E7-12B97B58FB8F,MAD
DB918DCD-258A-420D-9562-871AF374B969,NUQ
30121BDF-7479-4CC6-A15A-305BBDF1E6EE,MAD
AE7DD59C-31E2-4900-9BE0-720494FDDEC7,ESS
5BDBCF57-3102-4DCD-8C14-D8B16E80A2FD,CRL
F7D8AD35-136B-42C2-BA4E-67BD8A4597A7,MAD
9756C949-E5D6-48EF-BECB-E8C55B53AB0A,BOS
E188A625-7B38-4FAF-A8F1-68ECE6FBB0F6,ORY
6A07725E-8945-4950-910D-4015CFD50765,LIS
D26838CA-0B9A-405A-9289-C63FBCD790EE,SXB
22AF4EF5-55D6-4752-AFE9-D9D3AA5EA415,HAN
EE8E17DD-B75E-4E3A-A300-24AFED3BC531,LEJ
25C602CB-CE3A-4A46-8D67-D7D7EBD4143F,HAU
6BCA78F5-368E-452B-9E64-BD9B0580F9DC,THF
168DC1E3-7B20-4098-A4D1-B3FD9DDEB0EE,SVG
666A9125-BD26-4511-8F92-846D305A69DF,OBF
2664A5D0-28BC-4086-B010-315881B2ECEE,AHZ
E78A1DDA-F841-4246-8E60-92A80FC975DB,SHA
67E1F8F7-CC53-4FED-A3C0-4E305C771C4C,VLC
6F3C3B81-6A68-488C-B06E-CC2D2E56B53B,CFR
945C6A07-621D-46A3-8E1C-97DC491C4235,OSL
4D01406C-8812-4BE9-B6DB-FA70A3F71CE0,TLL
487AF022-897E-401D-B333-90140D5C9A78,IKT
F8FD8601-9FC9-44F8-940E-F9DE4FD55A0B,SVO
E29BB21D-8D87-4B5D-A769-F8B68DA950AB,GRO
D54E17F7-E142-493D-BB60-9A7A27041317,CTA
78419D37-E392-4D62-88CB-31B82FE2D051,STR
9F920F3E-EF11-4640-848B-4BA68D1CCAEF,SZG
0C852DBE-5397-4B88-A94E-422AFFEC7FDF,OWD
31A71479-CA74-407B-B456-34B2A0DF8C75,THF
2476AF03-8CE6-4419-AD69-58F214F582EE,LIN
7E1B633D-80A7-42C3-9386-499970F58C3F,CIA
4BB0D370-A94E-4410-B8F2-617C42716BA8,SVG
82212D00-43A3-4C30-B152-7BA7AB209332,CDG
2A06B142-658F-4191-A49B-EE89B8219C59,SVO
6D3320AA-5A60-4804-AE66-C8412802776C,IAD
34B2F9B8-E5E9-4AAB-AF13-96DA940F2C8E,OPO
2E8C2AE7-9533-4467-8AD0-301577C15DC4,VIT
44F1F135-997C-4AE9-BC30-483EE6797B97,KRS
DAF8F721-1BB6-4871-B903-953689520A88,SHA
A4192100-CD58-44FC-AD03-E6B6DEE6846D,OSL
0DF77F8E-3D63-4072-9FF9-A8ED3AE346E1,ORY
B8BA9E49-80B4-4E2A-AA1A-2DE82D4053FE,OMS
B445939C-CFE0-4392-9F3D-1FBC5236EE24,AMS
17C7A71D-EC27-4089-8EF6-E095722AB367,BHX
A29967A7-9A89-477B-A35D-D6F101A249F9,RTM
8CF7A21C-192A-4FDD-8071-8E952DDFE760,LIN
D2C1BCBD-AA0E-4FD0-A50B-AA9908EF8CE0,MAD
0CDAC639-FDF1-4D59-84D1-30ECDF0E05CE,RYG
B59C16FF-6A66-4D3B-9367-7D6F1537AEE4,QCY
D25F50FC-590E-4C1E-9617-0D757C7ED18F,CSF
3DD8672D-F945-4202-BEE5-610ECE22056E,CIA
7CC13A47-B1A0-41D2-8A9A-F02BE9D2F85F,LYE
51AA07A6-2B1E-4663-9D77-64005F1FFC9F,OSL
0CD5DA6B-A622-4504-BEAE-BAE5A1F67AAB,BUR
D0700A8C-279D-477A-88E6-941727D1E6F0,SOF
